feature,imp
Z_score_p11N_Tortoise_ARPEU_inv,0
Z_score_p10N_Tortoise_ARPEU_inv,0
Z_score_p9N_Tortoise_ARPEU_inv,0
Z_score_p8N_Tortoise_ARPEU_inv,0
Z_score_p7N_Tortoise_ARPEU_inv,0
Z_score_p6N_Tortoise_ARPEU_inv,0
Z_score_p5N_Tortoise_ARPEU_inv,0
Z_score_p4N_Tortoise_ARPEU_inv,0
Z_score_p3N_Tortoise_ARPEU_inv,0
Z_score_p6_Tortoise_ARPEU_inv,0
Z_score_p7_Tortoise_ARPEU_inv,0
Z_score_p8_Tortoise_ARPEU_inv,0
Z_score_p9_Tortoise_ARPEU_inv,0
Z_score_p10_Tortoise_ARPEU_inv,0
Z_score_p11_Tortoise_ARPEU_inv,0
Z_score_p1S_Tortoise_ARPNU_inv,0
Z_score_p12_Tortoise_ARPEU_inv,0
Z_score_p14_Tortoise_ARPEU_inv,0
Z_score_p15_Tortoise_ARPEU_inv,0
Z_score_p16_Tortoise_ARPEU_inv,0
Z_score_p17_Tortoise_ARPEU_inv,0
Z_score_p1N_Tortoise_ARPEU_inv,0
Z_score_p2N_Tortoise_ARPEU_inv,0
Z_score_p13_Tortoise_ARPEU_inv,0
Z_score_p2N_Tortoise_ARPNU_inv,0
Z_score_p2S_Tortoise_ARPNU_inv,0
Z_score_p4S_Tortoise_ARPNU_inv,0
Z_score_p0N_Tortoise_ARPNU_inv,0
Z_score_p17_Tortoise_ARPNU_inv,0
Z_score_p16_Tortoise_ARPNU_inv,0
Z_score_p15_Tortoise_ARPNU_inv,0
Z_score_p14_Tortoise_ARPNU_inv,0
Z_score_p13_Tortoise_ARPNU_inv,0
Z_score_p12_Tortoise_ARPNU_inv,0
Z_score_p11_Tortoise_ARPNU_inv,0
Z_score_p10_Tortoise_ARPNU_inv,0
Z_score_p9_Tortoise_ARPNU_inv,0
Z_score_p8_Tortoise_ARPNU_inv,0
Z_score_p7_Tortoise_ARPNU_inv,0
Z_score_p6_Tortoise_ARPNU_inv,0
Z_score_p5_Tortoise_ARPNU_inv,0
Z_score_p4_Tortoise_ARPNU_inv,0
Z_score_p3_Tortoise_ARPNU_inv,0
Z_score_p2_Tortoise_ARPNU_inv,0
Z_score_p5S_Tortoise_ARPNU_inv,0
Z_score_p6S_Tortoise_ARPNU_inv,0
Z_score_p7S_Tortoise_ARPNU_inv,0
Z_score_p8S_Tortoise_ARPNU_inv,0
Z_score_p9S_Tortoise_ARPNU_inv,0
Z_score_p10S_Tortoise_ARPNU_inv,0
Z_score_p3S_Tortoise_ARPNU_inv,0
Z_score_p11S_Tortoise_ARPNU_inv,0
Z_score_p13S_Tortoise_ARPNU_inv,0
Z_score_p14S_Tortoise_ARPNU_inv,0
Z_score_p15S_Tortoise_ARPNU_inv,0
Z_score_p16S_Tortoise_ARPNU_inv,0
Z_score_p17S_Tortoise_ARPNU_inv,0
Z_score_p1_Tortoise_ARPNU_inv,0
Z_score_p12S_Tortoise_ARPNU_inv,0
Z_score_p16N_Falcon_ARPEU_inv,0
Z_score_p17N_Falcon_ARPEU_inv,0
recent_mean_Falcon_Closing_inv,0
Z_score_p3N_Tortoise_Migrate_inv,0
Z_score_p2N_Tortoise_Migrate_inv,0
Z_score_p1N_Tortoise_Migrate_inv,0
Z_score_p0N_Tortoise_Migrate_inv,0
Z_score_p17_Tortoise_Migrate_inv,0
Z_score_p16_Tortoise_Migrate_inv,0
Z_score_p15_Tortoise_Migrate_inv,0
Z_score_p14_Tortoise_Migrate_inv,0
Z_score_p13_Tortoise_Migrate_inv,0
Z_score_p12_Tortoise_Migrate_inv,0
Z_score_p11_Tortoise_Migrate_inv,0
Z_score_p10_Tortoise_Migrate_inv,0
Z_score_p9_Tortoise_Migrate_inv,0
Z_score_p8_Tortoise_Migrate_inv,0
Z_score_p7_Tortoise_Migrate_inv,0
Z_score_p6_Tortoise_Migrate_inv,0
Z_score_p5_Tortoise_Migrate_inv,0
Z_score_p8S_Tortoise_Migrate_inv,0
Z_score_p9S_Tortoise_Migrate_inv,0
Z_score_p10S_Tortoise_Migrate_inv,0
Z_score_p11S_Tortoise_Migrate_inv,0
Z_score_p12S_Tortoise_Migrate_inv,0
Z_score_p13S_Tortoise_Migrate_inv,0
Z_score_p4N_Tortoise_Migrate_inv,0
Z_score_p14S_Tortoise_Migrate_inv,0
